Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Пристрій запису інформації на магнітну стрічку банківських карток марки MSR 206C","Реєстрація учасників","Банківське обладнання","Рівненська обл.",,492816,3000.00,
"Брухт чорних металів вагою 175 кг, та брухт кольорових металів (алюміній) вагою 38 кг","Торги відбулися",Брухт,"Полтавська обл.","Учасник №5",490065,100.00,801.00
"Брухт чорних металів","Торги відбулися",Брухт,"Полтавська обл.","Учасник №5",490066,100.00,201.00
"Гідравлічний візок (рокла), вантажопідйомністю 2 тонни","Торги відбулися",Обладнання,"Хмельницька обл.","Учасник №5",491487,2850.00,4561.00
"Транспортний засіб марки PEUGEOT модель 301, 2018 року випуску, № шасі VF3DDHMZ6JJ826376, об’єм двигуна 1199, колір - білий, державний реєстраційний номер АА2556ХЕ","Торги відбулися","Легкові автомобілі",м.Київ,"Учасник №2",490725,135390.00,138538.00
"Земельна ділянка загальною площею 1,0000 га, кадастровий номер: 3224686600:03:003:0002,що розташована за адресою:Київська область, Тетіївський район, Стадницька сільська рада","Торги відбулися","Земельні ділянки","Київська обл.","Учасник №11",489508,37400.00,50100.00
"Легковий автомобіль INFINITI FX45, 2003 р.в., ДНЗ АІ4070НВ, № кузова: JNRBS08W03X401300","Торги відбулися","Легкові автомобілі","Київська обл.","Учасник №3",490781,159358.00,182182.00
"Земельна ділянка, площею 2,000 га, кадастровий номер 3222484800:02:008:0021, що знаходиться за адресою: Київська область, Києво-Святошинський район, Мироцька сільська рада","Торги не відбулися","Земельні ділянки",м.Київ,,489678,2467130.10,
"ІПОТЕКА. Квартира трикімнатна, загальною пл. 65,70 кв.м., розташована за адресою м. Миколаїв, вул. Крупської 5, кв. 3","Торги не відбулися","Житлова нерухомість","Миколаївська обл.",,489612,683000.00,
"ІПОТЕКА. Житловий будинок зі всіма невід'ємними його спорудами, загальною площею 326,3 кв.м. та земельна ділянка загальною площею 0,1000 га, КН:3211200000:05:002:0273, за адресою: Київська обл., м. Фастів, вул. Мічуріна, № 105","Торги не відбулися","Житлова нерухомість","Київська обл.",,489684,681768.00,
"Іпотека. Земельна ділянка пл. 0,1969 га, кад. № 3223187701:01:012:0022, що знаходиться за адресою: Київська область, Обухівський район, с. Старі Безрадичі","Торги не відбулися","Земельні ділянки","Київська обл.",,489685,156640.00,
"ІПОТЕКА. Комплекс будівель та споруд, загальною площею 6059,4 кв.м., за адресою: Донецька область, Покровський район, смт. Удачне, вул. Желєзнодорожна, будинок 5","Торги не відбулися",Будівлі,м.Київ,,489686,993671.20,
"ІПОТЕКА. Корпус № 2 інвентарний номер 330, загальною площею 24 912,70 кв.м, що знаходиться за адресою: Запорізька область, місто Запоріжжя, вулиця Випробувачів, 2","Торги не відбулися","Промислова нерухомість",м.Київ,,489687,29277404.80,
"Комплекс, нежитлових будівель загальною площею 1445.5 кв.м. та земельна ділянка площею 1.1539 га, кадастровий номер: 7422055100:72:162:0142, що знаходяться за адресою: Чернігівська обл., Козелецький р., смт. Козелець, вулиця Соборності, 112","Торги не відбулися",Будівлі,"Київська обл.",,489697,1390770.00,
"Нежитлова будівля (літ. А), загальною площею 222,5 кв.м., за адресою: м. Запоріжжя, вул. Новокузнецька, буд. 4А","Торги не відбулися","Комерційна нерухомість","Запорізька обл.",,489698,2011172.25,
"Рушники махрові та простирадла купальні махрові в асортименті в кількості 41419 шт.","Торги не відбулися","Господарчі товари","Чернігівська обл.",,489699,2304710.00,
"ІПОТЕКА: Земельна ділянка, кадастровий номер: 3220884000:03:001:0017, загальною площею 2,6901 га, що розташована за адресою: Київська обл., Бориспільський р-н, с. Іванків","Торги не відбулися","Земельні ділянки",м.Київ,,489700,884935.20,
"Іпотека: Трикімнатна квартира №191, загальною площею 72.5 кв. м., житлова площа: 41,5 кв.м., що знаходиться за адресою: м.Київ, проспект Володимира Маяковського, буд. №7-А","Торги не відбулися","Житлова нерухомість","Київська обл.",,489372,1224730.00,
"Житловий будинок, заг. площею - 216,3 кв.м., що знаходиться за адресою: Волинська обл., м. Ковель, вул. Дачна, 4","Торги не відбулися","Житлова нерухомість","Волинська обл.",,489739,1165101.00,
